GDP Growth and S&P 500 Returns,,
Here’s how annual GDP growth and S&P 500 Index returns stack up from 1980 to the second quarter of 2021. Both metrics are net of inflation,,
Year,Real GDP Growth,Real S&P 500 Returns
1980,-0.30%,13.90%
1981,2.50%,-18.30%
1982,-1.80%,10.80%
1983,4.60%,13.40%
1984,7.20%,-2.50%
1985,4.20%,23.00%
1986,3.50%,12.90%
1987,3.50%,-2.20%
1988,4.20%,7.90%
1989,3.70%,22.40%
1990,1.90%,-12.40%
1991,-0.10%,23.40%
1992,3.50%,1.40%
1993,2.80%,4.40%
1994,4.00%,-4.20%
1995,2.70%,31.40%
1996,3.80%,17.20%
1997,4.40%,29.30%
1998,4.50%,25.10%
1999,4.80%,16.60%
2000,4.10%,-13.50%
2001,1.00%,-14.60%
2002,1.70%,-26.00%
2003,2.90%,24.50%
2004,3.80%,5.80%
2005,3.50%,-0.70%
2006,2.90%,11.40%
2007,1.90%,-0.60%
2008,-0.10%,-39.20%
2009,-2.50%,21.60%
2010,2.60%,11.10%
2011,1.60%,-3.10%
2012,2.20%,11.60%
2013,1.80%,28.30%
2014,2.50%,10.90%
2015,3.10%,-1.40%
2016,1.70%,7.30%
2017,2.30%,17.20%
2018,3.00%,-8.10%
2019,2.20%,26.80%
2020,-3.50%,14.90%
