Macrotrends Data Download,
,
S&amp;P 500 Historical Annual Returns,
,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",
date, value
31/12/1980,25.77
31/12/1981,-9.73
31/12/1982,14.76
30/12/1983,17.27
31/12/1984,1.4
31/12/1985,26.33
31/12/1986,14.62
31/12/1987,2.03
30/12/1988,12.4
29/12/1989,27.25
31/12/1990,-6.56
31/12/1991,26.31
31/12/1992,4.46
31/12/1993,7.06
30/12/1994,-1.54
29/12/1995,34.11
31/12/1996,20.26
31/12/1997,31.01
31/12/1998,26.67
31/12/1999,19.53
29/12/2000,-10.14
31/12/2001,-13.04
31/12/2002,-23.37
31/12/2003,26.38
31/12/2004,8.99
30/12/2005,3
29/12/2006,13.62
31/12/2007,3.53
31/12/2008,-38.49
31/12/2009,23.45
31/12/2010,12.78
30/12/2011,0
31/12/2012,13.41
31/12/2013,29.6
31/12/2014,11.39
31/12/2015,-0.73
30/12/2016,9.54
29/12/2017,19.42
31/12/2018,-6.24
31/12/2019,28.88
31/12/2020,16.26
31/12/2021,26.89
25/03/2022,-4.68
